corpus_id,simulation_id,model_order,regularity,regularity_label,regularity_label_readable,dependency,dependency_readable,uncertainty_z,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,early_drop,later_mean_drop,early_minus_later
high_100__adjacent__sim10,10,3-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.3927219988126496,1.0730575780298557,1.032177108812595,1.0213591670794784,1.0163631387879035,1.013313041925525,1.0121369175676096,1.0126780593767613,1.0064406524084586,1.0110026447827376,0.3196644207827939,0.00775686665588976,0.31190755412690413
high_100__nonadjacent__sim10,10,2-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.3083374803886514,2.030224101244141,2.022801282447448,2.013683411045549,2.0138496481691037,1.9967115154141608,2.009181786835336,2.014207645291684,2.0008690157694486,1.9949954689920064,0.2781133791445103,0.0044035790315168355,0.27370980011299345
high_100__nonadjacent__sim10,10,3-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.856582813095457,2.1643701536568005,2.109178449724883,2.086042789805132,2.045579912927205,2.008567068632217,2.0154946374471625,2.044687225439325,2.032965092333781,2.005625406902233,0.6922126594386566,0.01984309334432094,0.6723695660943356
low_60__adjacent__sim10,10,2-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.094335910060017,1.9578848766858408,1.992990066020936,2.009443166868897,1.9420658938523945,2.013212451718193,1.9416572897843036,1.9767934559594695,1.9881388314572832,1.9801650307888856,0.1364510333741764,-0.002785019262880606,0.13923605263705702
low_60__adjacent__sim10,10,3-gram,0.6,low_60,60% regular,adjacent,Adjacent,1,2.440026479515096,2.0186364240290557,2.021499852613177,2.0279000504395617,1.9686568542519245,2.0147221804613484,1.9453824863545603,1.9923003639620769,2.0133247002874475,1.9871353795347655,0.42139005548604036,0.003937630561786282,0.41745242492425405
low_60__nonadjacent__sim10,10,2-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.2985476730477967,2.025522037564279,2.035987573718224,2.011666289104911,2.0205086392797473,2.0043149371748856,2.0112459881308804,2.000180165855211,2.0113160519724502,2.000530306145816,0.2730256354835179,0.003123966427307834,0.26990166905621005
low_60__nonadjacent__sim10,10,3-gram,0.6,low_60,60% regular,nonadjacent,Non-adjacent,1,2.8582290783346744,2.155428061917895,2.1043510691670537,2.041868134335813,2.060458695044693,2.0349236149619596,2.0371528333735593,2.0298128948087917,2.0211036737738617,2.0092284846890776,0.7028010164167795,0.018274947153602172,0.6845260692631774
mid_80__adjacent__sim10,10,2-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,1.9558239057678612,1.765049537330616,1.669462541070206,1.630709541829623,1.7583341721156704,1.7682979266521055,1.6980370531530389,1.7261149606358146,1.7687851546499478,1.751213442379336,0.19077436843724516,0.0017295118689100164,0.18904485656833514
mid_80__adjacent__sim10,10,3-gram,0.8,mid_80,80% regular,adjacent,Adjacent,-2.7755575615628914e-16,2.2637625396280403,1.8266448726060387,1.712822623553966,1.6532270335595625,1.788702386319861,1.784054938944133,1.717478771693452,1.7314529412120263,1.7808835710507602,1.748022487863011,0.4371176670220016,0.009827798092878454,0.42728986892912313
mid_80__nonadjacent__sim10,10,2-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.275140501473472,2.032878429304405,2.023063560544848,1.974913733989424,2.024048698858105,2.00549118210042,2.0204308065466714,2.0197504439031064,2.0007957449128195,2.0209040567079297,0.24226207216906692,0.0014967965745594225,0.2407652755945075
mid_80__nonadjacent__sim10,10,3-gram,0.8,mid_80,80% regular,nonadjacent,Non-adjacent,-2.7755575615628914e-16,2.8243452805801352,2.123365736408348,2.0942578592695815,2.002160134474597,2.0623211736746323,2.0499940973611444,2.061985325702104,2.06154087807639,2.011269817439374,2.026442070639862,0.7009795441717874,0.012115458221060749,0.6888640859507267
high_100__adjacent__sim11,11,2-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.1246180940124932,1.0116310658304144,1.0071503024362156,1.0100710598894571,1.0046834839170564,1.00427314971258,1.0075968501174537,0.9996559700549916,1.003006235478925,1.0029615225072186,0.11298702818207884,0.0010836929153994757,0.11190333526667937
high_100__adjacent__sim11,11,3-gram,1,high_100,100% regular,adjacent,Adjacent,-1,1.4023647136599875,1.0480393802995982,1.023887373670819,1.0317973828130518,1.0146677552167511,1.0096551811419003,1.017993964222961,1.0005099670811164,1.0152021701323286,1.011913508573394,0.3543253333603893,0.004515733965775537,0.34980959939461376
high_100__nonadjacent__sim11,11,2-gram,1,high_100,100% regular,nonadjacent,Non-adjacent,-1,2.2995463187265965,2.0335282094115374,2.026780695041245,2.008220553505735,2.016612720720443,2.016856589310196,2.0118873870713667,2.009278461674292,2.0065900301873145,2.002303239392466,0.2660181093150591,0.0039031212523839565,0.26211498806267514
