model_order,regularity_label,dependency,exposure_block,mean,sd,n_corpora,se,critical_t,ci95
2-그램,60% 규칙,비인접,8,2.008113491293426,0.006928981480123603,30,0.0012650531523997438,2.0452296421327034,0.0025873242061613764
2-그램,60% 규칙,비인접,9,2.0070219007244408,0.0042413921741613885,30,7.743687230046908e-4,2.0452296421327034,0.0015837618662296424
2-그램,60% 규칙,비인접,10,2.0053990075281956,0.007110557429759212,30,0.001298204233571692,2.0452296421327034,0.0026551257800429924
3-그램,100% 규칙,인접,1,1.3940683585510711,0.007339352368349326,30,0.0013399762832079637,2.0452296421327034,0.002740559214171734
3-그램,100% 규칙,인접,2,1.0594130303054674,0.008452675747861115,30,0.0015432403927934607,2.0452296421327034,0.0031562809962777023
3-그램,100% 규칙,인접,3,1.030913458907563,0.006599170130751511,30,0.001204838113808973,2.0452296421327034,0.0024641706243333675
3-그램,100% 규칙,인접,4,1.0228892730960641,0.006994702541864403,30,0.0012770521217392858,2.0452296421327034,0.002611864853929649
3-그램,100% 규칙,인접,5,1.016305857269732,0.004330636806751088,30,7.90662489139904e-4,2.0452296421327034,0.0016170863597113584
3-그램,100% 규칙,인접,6,1.0149915281534032,0.00552740274010808,30,0.0010091610550576869,2.0452296421327034,0.002063966103489894
3-그램,100% 규칙,인접,7,1.01336828505565,0.004653516580449148,30,8.496120009454341e-4,2.0452296421327034,0.0017376516486452803
3-그램,100% 규칙,인접,8,1.0101529852922069,0.0038630840049473625,30,7.052994170156897e-4,2.0452296421327034,0.0014424992742594035
3-그램,100% 규칙,인접,9,1.008458272849461,0.004828812946904805,30,8.816165923309191e-4,2.0452296421327034,0.001803108387631219
3-그램,100% 규칙,인접,10,1.0081426589546842,0.0035168146660197385,30,6.420795743813359e-4,2.0452296421327034,0.0013132001781326582
3-그램,100% 규칙,비인접,1,2.8285583789118895,0.023146182288690743,30,0.0042258953865474905,2.0452296421327034,0.008642926509118767
3-그램,100% 규칙,비인접,2,2.1670629679324533,0.030395363604813246,30,0.005549408763309252,2.0452296421327034,0.01134981529903107
3-그램,100% 규칙,비인접,3,2.0893958820681475,0.022084119815198918,30,0.004031990195143756,2.0452296421327034,0.008246345863896434
3-그램,100% 규칙,비인접,4,2.067613362800021,0.017942602927364867,30,0.0032758561212253216,2.0452296421327034,0.0066998780424918905
3-그램,100% 규칙,비인접,5,2.0571653572200437,0.015996120744037123,30,0.0029204787213618177,2.0452296421327034,0.005973049650147006
3-그램,100% 규칙,비인접,6,2.039601183298142,0.01371757856289272,30,0.002504475737748547,2.0452296421327034,0.005122228016845499
3-그램,100% 규칙,비인접,7,2.036969672110693,0.013798617891275192,30,0.002519271427148597,2.0452296421327034,0.00515248859938227
3-그램,100% 규칙,비인접,8,2.025710803073798,0.015034622357825309,30,0.002744933936317476,2.0452296421327034,0.005614020252252504
3-그램,100% 규칙,비인접,9,2.0278651646896333,0.010076953871788221,30,0.0018397916488391433,2.0452296421327034,0.0037627964155540175
